mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,landscape,epoch_len
island-dtam,opt,uniform500,500,4,8,30,240,300,5,1,0.15,17261.9,8.36268,4.208,-1,24,24,24,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,300,6,1,0.15,17257,8.33186,4.001,-1,24,24,24,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,300,7,1,0.15,17434.4,9.44536,4.15,-1,24,24,24,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,400,8,1,0.15,17200.2,7.97535,5.208,-1,32,32,32,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,400,1,1,0.15,16809.2,5.52093,5.503,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,2,1,0.15,16926.4,6.25626,5.686,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,3,1,0.15,17450,9.54351,5.358,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,4,1,0.15,17352.4,8.93109,5.42,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,5,1,0.15,17269.4,8.40983,5.33,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,6,1,0.15,17063.4,7.11685,5.288,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,7,1,0.15,17434.4,9.44536,5.356,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,400,8,1,0.15,17200.2,7.97535,5.347,-1,16,16,16,0,uniform500,200
island-fixed,opt,clustered600,600,4,8,30,240,6370,1,0,0.15,6589.93,-1,4.003,-1,10192,10160,10192,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,6360,2,0,0.15,6955.19,-1,4.002,-1,10176,10137,10176,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,5955,3,0,0.15,7151.55,-1,4.002,-1,9528,9478,9528,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,6350,4,0,0.15,6639.62,-1,4.001,-1,10160,10125,10160,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,6045,5,0,0.15,7800.56,-1,4,-1,9672,9632,9672,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,6115,6,0,0.15,6701.76,-1,4.003,-1,9784,9742,9784,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,6050,7,0,0.15,7549.74,-1,4,-1,9680,9647,9680,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,6560,8,0,0.15,5943.99,-1,4,-1,10496,10447,10496,0,clustered600,5
island-fixed,opt,clustered600,600,4,8,30,240,7800,1,0,0.15,6616.58,-1,4.004,-1,6240,6229,6240,0,clustered600,10
island-fixed,opt,clustered600,600,4,8,30,240,7830,2,0,0.15,7006.9,-1,4.003,-1,6264,6255,6264,0,clustered600,10
