mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,instance_file,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-dtam,opt,ch150,150,4,8,30,240,3050,11,1,0.15,6563,0.536152,4.002,-1,2435,2435,2440,0,E6,ch150,1,4.002,4.002,4.002,0.0,6563.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3060,12,1,0.15,6631,1.57782,4.009,-1,2443,2443,2448,0,E6,ch150,1,4.009,4.009,4.009,0.0,6631.0,0.0
serial,opt,eil51,51,1,1,240,240,8518,1,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8632,2,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8604,3,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,9324,4,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8310,5,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8580,6,1,0.15,427,0.234742,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,427.0,0.0
serial,opt,eil51,51,1,1,240,240,8526,7,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8523,8,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8740,9,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8576,10,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8641,11,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
serial,opt,eil51,51,1,1,240,240,8630,12,1,0.15,426,0,4,-1,0,0,0,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,26900,1,1,0.15,426,0,4.001,-1,21520,21512,21520,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,20970,2,1,0.15,426,0,4.001,-1,16776,16768,16776,0,E6,eil51,1,4.001,4.001,4.001,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21590,3,1,0.15,426,0,4,-1,17272,17263,17272,0,E6,eil51,1,4.0,4.0,4.0,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,20640,4,1,0.15,426,0,4.002,-1,16512,16502,16512,0,E6,eil51,1,4.002,4.002,4.002,0.0,426.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,20630,5,1,0.15,427,0.234742,4.001,-1,16504,16494,16504,0,E6,eil51,1,4.001,4.001,4.001,0.0,427.0,0.0
island-fixed,opt,eil51,51,4,8,30,240,21270,6,1,0.15,427,0.234742,4.001,-1,17016,17006,17016,0,E6,eil51,1,4.001,4.001,4.001,0.0,427.0,0.0
